id;lat;lon;localidad_1;localidad_2;localidad_3;localidad_4;rooms;bedrooms;bathrooms;surface_total;surface_covered;price;currency;property_type;l3_zona;l3_comuna;l3_new;l4_new;start_date_year;start_date_month;start_date_day;end_date_year;end_date_month;end_date_day;quarter_start_date;m2_price_gob
660342;-58.405105;-34.590794;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;2.0;3.0;90.0;85.0;;USD;Departamento;other;other;other;other;2020;1;24;2020;2;13;1;0.0
854204;-58.48858;-34.571899;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;2.0;65.0;61.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;1;17;2020;1;19;1;3326.1046335961973
195954;-58.4112957;-34.5924844;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;73.0;64.0;;USD;Departamento;Norte;Comuna 14;other;other;2020;5;19;2020;8;7;2;3744.941017688023
801187;;;Argentina;Capital Federal;sin_info;sin_info;2.0;1.0;1.0;;;;USD;Departamento;other;other;other;other;2020;2;12;9999;12;31;1;0.0
566805;-58.420144;-34.584219;Argentina;Capital Federal;Palermo;sin_info;2.0;1.0;1.0;48.0;45.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;12;5;2019;12;14;4;3873.022431225748
356465;-58.416687637;-34.5976131344;Argentina;Capital Federal;Palermo;sin_info;2.0;1.0;1.0;51.0;42.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;11;6;2019;12;23;4;3873.022431225748
165926;-58.4265672;-34.5976731;Argentina;Capital Federal;Palermo;sin_info;2.0;;2.0;55.0;47.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;7;26;9999;12;31;3;3902.1896178093994
777663;-58.4532069;-34.5957203;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;2.0;49.0;44.0;;USD;PH;Centro;Comuna 15;other;other;2020;2;29;2020;3;6;1;3153.2079320597763
13932;-58.399261679;-34.6031400479;Argentina;Capital Federal;Once;sin_info;3.0;2.0;1.0;94.0;94.0;;USD;Departamento;other;other;other;other;2020;5;23;2020;6;1;2;0.0
403533;-58.4425531169;-34.5967927375;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;84.0;79.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;3;29;2020;4;3;1;3153.2079320597763
882393;-58.406374253;-34.5961440135;Argentina;Capital Federal;Barrio Norte;sin_info;2.0;1.0;1.0;29.0;29.0;;USD;Departamento;other;other;other;other;2020;4;2;2020;6;1;2;0.0
556695;-58.449111;-34.608817;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;60.0;48.0;;USD;PH;Centro;Comuna 6;other;other;2019;11;29;2020;1;21;4;3426.100855601055
230552;-58.4227031;-34.5916303;Argentina;Capital Federal;Palermo;Palermo Viejo;3.0;2.0;1.0;49.0;46.0;;USD;Departamento;Norte;Comuna 14;other;Palermo Viejo;2020;6;18;9999;12;31;2;3744.941017688023
513054;-58.4311921;-34.6004697;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;2.0;63.0;60.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;2;26;2020;9;1;1;3153.2079320597763
956573;-58.4133256018;-34.5990735481;Argentina;Capital Federal;Barrio Norte;sin_info;2.0;1.0;1.0;44.0;41.0;;USD;Departamento;other;other;other;other;2020;5;20;2020;5;20;2;0.0
95811;-58.497804;-34.552412;Argentina;Capital Federal;Saavedra;sin_info;2.0;1.0;2.0;76.0;50.0;;USD;PH;Norte;Comuna 12;other;other;2019;11;24;2019;12;2;4;3170.685207021417
987595;-58.4842762;-34.5983593;Argentina;Capital Federal;Villa del Parque;sin_info;3.0;2.0;1.0;86.0;72.0;;USD;Departamento;Oeste;Comuna 11;other;other;2019;8;1;2019;8;14;3;0.0
168773;-58.0691331312;-34.8510459506;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Villa Elisa;3.0;2.0;2.0;;;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;1;19;9999;12;31;1;0.0
606651;-58.3834375708;-34.5943108467;Argentina;Capital Federal;Recoleta;sin_info;2.0;1.0;1.0;39.0;39.0;;USD;Departamento;Norte;Comuna 2;Recoleta;other;2019;9;14;2019;9;17;3;4116.736735495754
410552;-58.431494236;-34.611806655;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;47.0;43.0;;USD;Departamento;Centro;Comuna 6;other;other;2019;10;13;2020;1;21;4;3426.100855601055
190644;-58.467205;-34.607052;Argentina;Capital Federal;Villa General Mitre;sin_info;2.0;1.0;2.0;54.0;52.0;;USD;Departamento;Oeste;Comuna 11;other;other;2020;5;26;2020;6;1;2;0.0
112788;-58.488707;-34.603097;Argentina;Capital Federal;Villa del Parque;sin_info;3.0;2.0;1.0;85.0;75.0;;USD;Departamento;Oeste;Comuna 11;other;other;2019;11;10;2019;11;29;4;2850.9486088699814
606095;-58.4492993;-34.6081623;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;47.0;47.0;;USD;PH;Centro;Comuna 15;other;other;2019;9;14;2019;9;17;3;3231.277016852641
415365;-58.417304;-34.6141446;Argentina;Capital Federal;Almagro;sin_info;2.0;;1.0;57.0;51.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;11;28;9999;12;31;4;3145.2527349928964
743024;-58.445597;-34.557254;Argentina;Capital Federal;Belgrano;sin_info;2.0;1.0;1.0;60.0;56.0;;USD;Departamento;Norte;Comuna 13;other;other;2020;6;30;9999;12;31;2;3900.3552203916724
166069;-58.4820872386;-34.5741577173;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;;2.0;110.0;85.0;;USD;PH;Norte;Comuna 12;other;other;2019;7;26;2020;2;4;3;3361.356685278829
47087;-58.4513592;-34.5617029;Argentina;Capital Federal;Belgrano;sin_info;2.0;1.0;1.0;48.0;48.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;10;11;2019;11;2;4;3999.4417464053645
261147;-58.5168364;-34.6598367;Argentina;Capital Federal;Mataderos;sin_info;3.0;2.0;2.0;;;;USD;Departamento;Oeste;Comuna 9;other;other;2020;7;24;9999;12;31;3;2799.3078763481694
339691;-58.4484207;-34.5815742;Argentina;Capital Federal;Palermo;sin_info;3.0;;2.0;80.0;80.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;11;20;2020;6;19;4;3873.022431225748
171679;-58.44166;-34.60725;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;36.0;36.0;;USD;Departamento;Centro;Comuna 6;other;other;2020;5;12;2020;5;20;2;3245.6235781903574
620616;-58.4047136038;-34.5932650235;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;2.0;1.0;56.0;52.0;;USD;Departamento;other;other;other;other;2020;3;19;2020;4;3;1;0.0
332233;-58.3816141;-34.6131365;Argentina;Capital Federal;Monserrat;sin_info;3.0;2.0;2.0;85.0;85.0;;USD;Departamento;Este;Comuna 1;other;other;2020;5;13;2020;5;29;2;0.0
960442;-57.9968732;-34.9313541;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;2.0;1.0;80.0;67.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;5;30;2020;6;15;2;0.0
541833;;;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Centro;Comuna 6;other;other;2020;5;15;2020;8;3;2;3245.6235781903574
854062;-58.4322374;-34.5823429;Argentina;Capital Federal;Palermo;Palermo Hollywood;3.0;2.0;2.0;78.0;78.0;;USD;Departamento;Norte;Comuna 14;other;Palermo Hollywood;2020;1;17;2020;2;13;1;3834.6405277128156
262247;-58.4202848;-34.6145394;Argentina;Capital Federal;Almagro;sin_info;3.0;;2.0;83.0;76.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;12;26;2020;7;16;4;3145.2527349928964
78476;-58.4776807;-34.549306;Argentina;Capital Federal;Saavedra;sin_info;2.0;1.0;1.0;34.0;34.0;;USD;Departamento;Norte;Comuna 12;other;other;2019;10;28;2020;8;25;4;3170.685207021417
247473;-57.960445;-34.9221667;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;sin_info;2.0;;1.0;50.0;50.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;1;3;2020;9;9;1;0.0
250522;;;Argentina;Capital Federal;sin_info;sin_info;2.0;1.0;1.0;;;;USD;PH;other;other;other;other;2020;1;16;9999;12;31;1;0.0
578236;-58.41561;-34.60845;Argentina;Capital Federal;Balvanera;sin_info;3.0;2.0;2.0;124.0;124.0;;USD;PH;Este;Comuna 3;other;other;2019;8;13;2019;8;14;3;2861.1885614865614
878367;-58.436304;-34.60253;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;46.0;43.0;;USD;Departamento;Centro;Comuna 15;other;other;2019;11;13;2020;2;4;4;3136.0511595221365
127418;-58.4187335851;-34.5988808376;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;74.0;74.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;7;7;2020;7;22;3;2964.0814193626893
536360;;;Argentina;Capital Federal;Almagro;sin_info;2.0;1.0;1.0;42.0;38.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;4;24;2020;5;8;2;3175.9177624488034
636460;-58.5067468;-34.6236829;Argentina;Capital Federal;Floresta;sin_info;2.0;1.0;1.0;48.0;41.0;;USD;Departamento;Oeste;Comuna 10;other;other;2020;2;21;2020;5;4;1;0.0
476380;-58.441151;-34.5942498;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;71.0;68.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;6;4;2020;6;8;2;3051.8708736518493
970258;-58.4686134;-34.5636716;Argentina;Capital Federal;Coghlan;sin_info;3.0;2.0;2.0;;;;USD;Departamento;Norte;Comuna 12;other;other;2020;3;16;9999;12;31;1;3100.457016300368
198438;-58.4644209;-34.5533609;Argentina;Capital Federal;Nuñez;sin_info;2.0;1.0;1.0;35.0;33.0;;USD;Departamento;Norte;Comuna 13;Nuñez;other;2019;7;5;2019;7;9;3;0.0
50587;-58.4660831;-34.6245155;Argentina;Capital Federal;Flores;sin_info;2.0;;1.0;53.0;53.0;;USD;Departamento;Centro;Comuna 7;other;other;2019;9;9;9999;12;31;3;2822.369474862677
591903;-58.4197726235;-34.5974800277;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;90.0;81.0;;USD;Departamento;Norte;Comuna 14;other;other;2020;3;10;2020;3;15;1;3834.6405277128156
309742;-58.48834229;-34.63687897;Argentina;Capital Federal;Velez Sarsfield;sin_info;2.0;1.0;1.0;45.0;44.0;;USD;Departamento;other;other;other;other;2020;7;26;9999;12;31;3;0.0
638111;-57.947296;-34.9124997;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;2.0;1.0;1.0;41.0;41.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;2;21;2020;2;22;1;0.0
547918;-58.4803465;-34.5742274;Argentina;Capital Federal;Villa Urquiza;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Norte;Comuna 12;other;other;2019;11;14;9999;12;31;4;0.0
659211;-58.4346224;-34.5901743;Argentina;Capital Federal;Palermo;Palermo Soho;2.0;1.0;1.0;33.0;33.0;;USD;Departamento;Norte;Comuna 14;other;other;2020;1;24;2020;2;11;1;3834.6405277128156
631300;-58.444037;-34.621284;Argentina;Capital Federal;Caballito;sin_info;2.0;;;24.0;24.0;;USD;Departamento;Centro;Comuna 6;other;other;2020;2;14;2020;4;13;1;3287.4493983760863
476373;-58.4056714925;-34.6038554905;Argentina;Capital Federal;Balvanera;sin_info;3.0;2.0;1.0;54.0;54.0;;USD;Departamento;Este;Comuna 3;other;other;2020;6;4;2020;6;8;2;0.0
127470;;;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;2.0;1.0;;62.0;;USD;PH;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;7;7;9999;12;31;3;0.0
169388;-58.4708118;-34.5659686;Argentina;Capital Federal;Coghlan;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Norte;Comuna 12;other;other;2020;1;19;2020;5;29;1;3100.457016300368
879781;-58.484254;-34.5673304;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;;;;;USD;Departamento;Norte;Comuna 12;other;other;2019;11;13;2020;7;31;4;0.0
49645;-58.423579;-34.640337;Argentina;Capital Federal;Parque Chacabuco;sin_info;2.0;1.0;1.0;47.0;40.0;;USD;Departamento;Centro;Comuna 7;other;other;2019;8;18;2019;9;14;3;0.0
287082;-58.37118149;-34.62569809;Argentina;Capital Federal;San Telmo;sin_info;2.0;;2.0;102.0;92.0;;USD;Departamento;Este;Comuna 1;other;other;2020;6;23;2020;9;23;2;0.0
284291;-58.4689923;-34.6336296;Argentina;Capital Federal;Flores;sin_info;2.0;1.0;1.0;42.0;39.0;;USD;Departamento;Centro;Comuna 7;other;other;2020;5;5;2020;8;24;2;2792.7372645982923
577674;-58.4596874613;-34.6149368311;Argentina;Capital Federal;Villa General Mitre;sin_info;2.0;1.0;1.0;37.0;37.0;;USD;Departamento;Oeste;Comuna 11;other;other;2019;8;13;2019;8;14;3;0.0
209896;-58.4293082771;-34.6281320078;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;42.0;38.0;;USD;Departamento;Centro;Comuna 6;other;other;2020;1;27;2020;2;13;1;3287.4493983760863
918724;-57.9670706;-34.9207489;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;sin_info;3.0;2.0;1.0;;;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;3;18;9999;12;31;1;0.0
353275;-58.43410906;-34.60163988;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;50.0;44.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;1;14;2020;1;28;1;3153.2079320597763
35911;-58.44961;-34.5548233;Argentina;Capital Federal;Belgrano;sin_info;2.0;1.0;1.0;47.0;44.0;;USD;Departamento;Norte;Comuna 13;other;other;2020;6;22;2020;6;25;2;3900.3552203916724
438255;-58.471663;-34.553543;Argentina;Capital Federal;Nuñez;sin_info;2.0;1.0;1.0;79.0;42.0;;USD;PH;Norte;Comuna 13;Nuñez;other;2019;11;16;2020;1;21;4;0.0
403472;-58.4069098;-34.6136411;Argentina;Capital Federal;Once;sin_info;3.0;2.0;1.0;56.0;54.0;;USD;Departamento;other;other;other;other;2020;3;29;2020;4;3;1;0.0
704690;-58.3842777;-34.6234372;Argentina;Capital Federal;Constitución;sin_info;2.0;;;42.0;42.0;;USD;Departamento;Este;Comuna 1;other;other;2020;2;27;9999;12;31;1;0.0
102031;-58.4915273;-34.6269422;Argentina;Capital Federal;Floresta;sin_info;2.0;;1.0;46.0;41.0;;USD;Departamento;Oeste;Comuna 10;other;other;2019;9;3;2020;2;3;3;0.0
244869;-58.4355032;-34.5663089;Argentina;Capital Federal;Las Cañitas;sin_info;3.0;2.0;2.0;99.0;99.0;;USD;Departamento;other;other;Las Cañitas;other;2019;12;28;2020;2;13;4;0.0
950620;-58.486473;-34.63076;Argentina;Capital Federal;Floresta;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Oeste;Comuna 10;other;other;2020;4;23;9999;12;31;2;0.0
985727;-58.4558185022;-34.5793262582;Argentina;Capital Federal;Colegiales;sin_info;2.0;1.0;1.0;58.0;50.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;8;1;2019;8;13;3;3585.4745607023
778587;-58.4603611;-34.5642355;Argentina;Capital Federal;Belgrano;sin_info;3.0;2.0;3.0;110.0;100.0;;USD;Departamento;Norte;Comuna 13;other;other;2020;2;29;9999;12;31;1;3894.8593746406755
238317;-58.4690478;-34.6912509;Argentina;Capital Federal;Villa Riachuelo;sin_info;3.0;1.0;1.0;110.0;59.0;;USD;PH;other;other;other;other;2020;7;1;9999;12;31;3;0.0
416412;-58.4017833;-34.5837916;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;2.0;1.0;68.0;60.0;;USD;Departamento;other;other;other;other;2019;11;28;2019;12;23;4;0.0
395266;;;Argentina;Capital Federal;sin_info;sin_info;2.0;1.0;1.0;;;;USD;Departamento;other;other;other;other;2020;1;7;9999;12;31;1;0.0
578257;-58.4406027;-34.6159245;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;85.0;75.0;;USD;Departamento;Centro;Comuna 6;other;other;2019;8;13;2019;8;14;3;3395.6591326763664
800934;-58.4405457447;-34.5968649818;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;50.0;45.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;2;12;2020;2;13;1;3153.2079320597763
943052;-57.953568;-34.947918;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;2.0;1.0;80.0;70.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;3;13;2020;9;2;1;0.0
752996;;;Argentina;Capital Federal;Palermo;Palermo Soho;3.0;2.0;1.0;59.0;59.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;11;21;2019;12;7;4;3873.022431225748
180728;-57.9400902819;-34.9143718048;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;2.0;1.0;1.0;37.0;37.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;7;8;2020;8;25;3;0.0
12253;-58.406301;-34.5877746;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;;1.0;62.0;62.0;;USD;Departamento;other;other;other;other;2019;8;2;2020;1;16;3;0.0
987469;;;Argentina;Capital Federal;Puerto Madero;sin_info;3.0;2.0;3.0;135.0;135.0;;USD;Departamento;Este;Comuna 1;Puerto Madero;other;2019;8;1;2019;8;14;3;0.0
650914;-58.4653526;-34.6169345;Argentina;Capital Federal;Flores;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Centro;Comuna 7;other;other;2019;11;12;9999;12;31;4;0.0
121889;-58.482406;-34.561724;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;1.0;1.0;84.0;70.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;7;3;2020;9;2;3;3132.4724912447577
332290;-58.445579;-34.5973122;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;82.0;45.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;5;13;2020;6;20;2;3051.8708736518493
84069;-58.4692833547;-34.5382372666;Argentina;Capital Federal;Nuñez;sin_info;3.0;;;;95.0;;USD;Departamento;Norte;Comuna 13;Nuñez;other;2019;8;21;2019;8;23;3;0.0
660478;-58.4752224;-34.5745042;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;1.0;95.0;75.0;;USD;PH;Norte;Comuna 12;other;other;2020;1;24;9999;12;31;1;3326.1046335961973
497455;-58.396258;-34.6153363;Argentina;Capital Federal;Balvanera;sin_info;3.0;2.0;1.0;88.0;86.0;;USD;Departamento;Este;Comuna 3;other;other;2019;12;12;9999;12;31;4;2794.6819180997104
110244;-58.468956;-34.607213;Argentina;Capital Federal;Paternal;sin_info;3.0;2.0;2.0;111.0;77.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;1;22;2020;4;2;1;0.0
106129;-58.5056176;-34.6223394;Argentina;Capital Federal;Floresta;sin_info;3.0;;;124.0;92.0;;USD;PH;Oeste;Comuna 10;other;other;2019;9;17;2020;9;8;3;0.0
616483;-58.449967;-34.62433;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;79.0;79.0;;USD;Departamento;Centro;Comuna 6;other;other;2019;9;11;2019;9;14;3;3395.6591326763664
884349;-58.483977;-34.55113;Argentina;Capital Federal;Saavedra;sin_info;2.0;1.0;2.0;100.0;76.0;;USD;PH;Norte;Comuna 12;other;other;2020;4;2;9999;12;31;2;3048.8810114778603
244730;-58.43063;-34.607653;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;40.0;37.0;;USD;Departamento;Centro;Comuna 6;other;other;2019;12;28;2020;1;21;4;3426.100855601055
442705;-58.44355011;-34.60284805;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;;1.0;44.0;44.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;6;1;9999;12;31;2;3051.8708736518493
103444;-58.4213675;-34.6098753;Argentina;Capital Federal;Almagro;sin_info;3.0;;1.0;62.0;59.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;11;23;2020;5;5;4;3145.2527349928964
652877;-58.5078649148;-34.6033637189;Argentina;Capital Federal;Villa Devoto;sin_info;3.0;2.0;1.0;;;;USD;Departamento;Oeste;Comuna 11;other;other;2019;11;12;2019;12;5;4;3012.8908090368027
163663;-58.4152009;-34.619706;Argentina;Capital Federal;Almagro;sin_info;3.0;;1.0;;63.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;9;4;9999;12;31;3;3123.5529113949997
198841;-58.4679922302;-34.6251673855;Argentina;Capital Federal;Flores;sin_info;3.0;3.0;2.0;132.0;82.0;;USD;Departamento;Centro;Comuna 7;other;other;2019;7;5;2019;7;9;3;2822.369474862677
571582;-58.472744;-34.5822353;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;2.0;73.0;65.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;6;3;2020;6;15;2;3353.0802504285743
840902;-58.4162401599;-34.6082854903;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;75.0;72.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;3;7;2020;3;15;1;3128.8662553727586
331397;-58.3902503;-34.617171;Argentina;Capital Federal;Congreso;sin_info;2.0;1.0;1.0;60.0;34.0;;USD;Departamento;other;other;other;other;2020;5;13;2020;6;1;2;0.0
352714;-60.6284528;-32.9523152;Argentina;Capital Federal;sin_info;sin_info;3.0;1.0;1.0;;;;USD;Departamento;other;other;other;other;2020;1;14;9999;12;31;1;0.0
68354;-57.9490475932;-34.9040867431;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;;1.0;50.0;47.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2019;11;9;9999;12;31;4;0.0
877413;-58.4557246;-34.5791632;Argentina;Capital Federal;Colegiales;sin_info;2.0;;1.0;;53.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;11;13;2020;5;4;4;3620.1489477299046
607417;-58.4630859156;-34.6037693002;Argentina;Capital Federal;Paternal;sin_info;3.0;2.0;1.0;47.0;47.0;;USD;Departamento;Centro;Comuna 15;other;other;2019;9;14;2019;9;17;3;0.0
412411;-58.4915986;-34.5545188;Argentina;Capital Federal;Saavedra;sin_info;2.0;;1.0;50.0;41.0;;USD;Departamento;Norte;Comuna 12;other;other;2019;9;24;2020;5;4;3;0.0
47334;;;Argentina;Capital Federal;Belgrano;sin_info;3.0;;2.0;71.0;64.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;10;11;2020;1;7;4;3999.4417464053645
570477;-58.43469;-34.60896;Argentina;Capital Federal;Parque Centenario;sin_info;2.0;1.0;1.0;45.0;43.0;;USD;Departamento;other;other;other;other;2020;6;3;2020;6;8;2;0.0
500031;-57.938783;-34.914448;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;1.0;1.0;21.0;21.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2019;7;24;2019;9;14;3;0.0
673878;-58.46265;-34.622715;Argentina;Capital Federal;Flores;sin_info;3.0;2.0;1.0;92.0;83.0;;USD;Departamento;Centro;Comuna 7;other;other;2019;8;25;2019;9;14;3;2822.369474862677
331476;-58.452877;-34.625061;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Centro;Comuna 6;other;other;2020;5;13;2020;8;25;2;3245.6235781903574
