id;lat;lon;localidad_1;localidad_2;localidad_3;localidad_4;rooms;bedrooms;bathrooms;surface_total;surface_covered;price;currency;property_type;l3_zona;l3_comuna;l3_new;l4_new;start_date_year;start_date_month;start_date_day;end_date_year;end_date_month;end_date_day
743024;-58.445597;-34.557254;Argentina;Capital Federal;Belgrano;sin_info;2.0;1.0;1.0;60.0;56.0;;USD;Departamento;Norte;Comuna 13;other;other;2020;6;30;9999;12;31
166069;-58.4820872386;-34.5741577173;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;;2.0;110.0;85.0;;USD;PH;Norte;Comuna 12;other;other;2019;7;26;2020;2;4
47087;-58.4513592;-34.5617029;Argentina;Capital Federal;Belgrano;sin_info;2.0;1.0;1.0;48.0;48.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;10;11;2019;11;2
261147;-58.5168364;-34.6598367;Argentina;Capital Federal;Mataderos;sin_info;3.0;2.0;2.0;;;;USD;Departamento;Oeste;Comuna 9;other;other;2020;7;24;9999;12;31
339691;-58.4484207;-34.5815742;Argentina;Capital Federal;Palermo;sin_info;3.0;;2.0;80.0;80.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;11;20;2020;6;19
171679;-58.44166;-34.60725;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;36.0;36.0;;USD;Departamento;Centro;Comuna 6;other;other;2020;5;12;2020;5;20
620616;-58.4047136038;-34.5932650235;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;2.0;1.0;56.0;52.0;;USD;Departamento;other;other;other;other;2020;3;19;2020;4;3
332233;-58.3816141;-34.6131365;Argentina;Capital Federal;Monserrat;sin_info;3.0;2.0;2.0;85.0;85.0;;USD;Departamento;Este;Comuna 1;other;other;2020;5;13;2020;5;29
960442;-57.9968732;-34.9313541;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;2.0;1.0;80.0;67.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;5;30;2020;6;15
541833;;;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Centro;Comuna 6;other;other;2020;5;15;2020;8;3
854062;-58.4322374;-34.5823429;Argentina;Capital Federal;Palermo;Palermo Hollywood;3.0;2.0;2.0;78.0;78.0;;USD;Departamento;Norte;Comuna 14;other;Palermo Hollywood;2020;1;17;2020;2;13
262247;-58.4202848;-34.6145394;Argentina;Capital Federal;Almagro;sin_info;3.0;;2.0;83.0;76.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;12;26;2020;7;16
78476;-58.4776807;-34.549306;Argentina;Capital Federal;Saavedra;sin_info;2.0;1.0;1.0;34.0;34.0;;USD;Departamento;Norte;Comuna 12;other;other;2019;10;28;2020;8;25
247473;-57.960445;-34.9221667;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;sin_info;2.0;;1.0;50.0;50.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;1;3;2020;9;9
250522;;;Argentina;Capital Federal;sin_info;sin_info;2.0;1.0;1.0;;;;USD;PH;other;other;other;other;2020;1;16;9999;12;31
578236;-58.41561;-34.60845;Argentina;Capital Federal;Balvanera;sin_info;3.0;2.0;2.0;124.0;124.0;;USD;PH;Este;Comuna 3;other;other;2019;8;13;2019;8;14
878367;-58.436304;-34.60253;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;46.0;43.0;;USD;Departamento;Centro;Comuna 15;other;other;2019;11;13;2020;2;4
127418;-58.4187335851;-34.5988808376;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;74.0;74.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;7;7;2020;7;22
536360;;;Argentina;Capital Federal;Almagro;sin_info;2.0;1.0;1.0;42.0;38.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;4;24;2020;5;8
636460;-58.5067468;-34.6236829;Argentina;Capital Federal;Floresta;sin_info;2.0;1.0;1.0;48.0;41.0;;USD;Departamento;Oeste;Comuna 10;other;other;2020;2;21;2020;5;4
476380;-58.441151;-34.5942498;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;71.0;68.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;6;4;2020;6;8
970258;-58.4686134;-34.5636716;Argentina;Capital Federal;Coghlan;sin_info;3.0;2.0;2.0;;;;USD;Departamento;Norte;Comuna 12;other;other;2020;3;16;9999;12;31
198438;-58.4644209;-34.5533609;Argentina;Capital Federal;Nuñez;sin_info;2.0;1.0;1.0;35.0;33.0;;USD;Departamento;Norte;Comuna 13;Nuñez;other;2019;7;5;2019;7;9
50587;-58.4660831;-34.6245155;Argentina;Capital Federal;Flores;sin_info;2.0;;1.0;53.0;53.0;;USD;Departamento;Centro;Comuna 7;other;other;2019;9;9;9999;12;31
591903;-58.4197726235;-34.5974800277;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;90.0;81.0;;USD;Departamento;Norte;Comuna 14;other;other;2020;3;10;2020;3;15
309742;-58.48834229;-34.63687897;Argentina;Capital Federal;Velez Sarsfield;sin_info;2.0;1.0;1.0;45.0;44.0;;USD;Departamento;other;other;other;other;2020;7;26;9999;12;31
638111;-57.947296;-34.9124997;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;2.0;1.0;1.0;41.0;41.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;2;21;2020;2;22
547918;-58.4803465;-34.5742274;Argentina;Capital Federal;Villa Urquiza;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Norte;Comuna 12;other;other;2019;11;14;9999;12;31
659211;-58.4346224;-34.5901743;Argentina;Capital Federal;Palermo;Palermo Soho;2.0;1.0;1.0;33.0;33.0;;USD;Departamento;Norte;Comuna 14;other;other;2020;1;24;2020;2;11
631300;-58.444037;-34.621284;Argentina;Capital Federal;Caballito;sin_info;2.0;;;24.0;24.0;;USD;Departamento;Centro;Comuna 6;other;other;2020;2;14;2020;4;13
476373;-58.4056714925;-34.6038554905;Argentina;Capital Federal;Balvanera;sin_info;3.0;2.0;1.0;54.0;54.0;;USD;Departamento;Este;Comuna 3;other;other;2020;6;4;2020;6;8
127470;;;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;2.0;1.0;;62.0;;USD;PH;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;7;7;9999;12;31
169388;-58.4708118;-34.5659686;Argentina;Capital Federal;Coghlan;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Norte;Comuna 12;other;other;2020;1;19;2020;5;29
879781;-58.484254;-34.5673304;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;;;;;USD;Departamento;Norte;Comuna 12;other;other;2019;11;13;2020;7;31
49645;-58.423579;-34.640337;Argentina;Capital Federal;Parque Chacabuco;sin_info;2.0;1.0;1.0;47.0;40.0;;USD;Departamento;Centro;Comuna 7;other;other;2019;8;18;2019;9;14
287082;-58.37118149;-34.62569809;Argentina;Capital Federal;San Telmo;sin_info;2.0;;2.0;102.0;92.0;;USD;Departamento;Este;Comuna 1;other;other;2020;6;23;2020;9;23
284291;-58.4689923;-34.6336296;Argentina;Capital Federal;Flores;sin_info;2.0;1.0;1.0;42.0;39.0;;USD;Departamento;Centro;Comuna 7;other;other;2020;5;5;2020;8;24
577674;-58.4596874613;-34.6149368311;Argentina;Capital Federal;Villa General Mitre;sin_info;2.0;1.0;1.0;37.0;37.0;;USD;Departamento;Oeste;Comuna 11;other;other;2019;8;13;2019;8;14
209896;-58.4293082771;-34.6281320078;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;42.0;38.0;;USD;Departamento;Centro;Comuna 6;other;other;2020;1;27;2020;2;13
918724;-57.9670706;-34.9207489;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;sin_info;3.0;2.0;1.0;;;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;3;18;9999;12;31
353275;-58.43410906;-34.60163988;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;50.0;44.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;1;14;2020;1;28
35911;-58.44961;-34.5548233;Argentina;Capital Federal;Belgrano;sin_info;2.0;1.0;1.0;47.0;44.0;;USD;Departamento;Norte;Comuna 13;other;other;2020;6;22;2020;6;25
438255;-58.471663;-34.553543;Argentina;Capital Federal;Nuñez;sin_info;2.0;1.0;1.0;79.0;42.0;;USD;PH;Norte;Comuna 13;Nuñez;other;2019;11;16;2020;1;21
403472;-58.4069098;-34.6136411;Argentina;Capital Federal;Once;sin_info;3.0;2.0;1.0;56.0;54.0;;USD;Departamento;other;other;other;other;2020;3;29;2020;4;3
704690;-58.3842777;-34.6234372;Argentina;Capital Federal;Constitución;sin_info;2.0;;;42.0;42.0;;USD;Departamento;Este;Comuna 1;other;other;2020;2;27;9999;12;31
102031;-58.4915273;-34.6269422;Argentina;Capital Federal;Floresta;sin_info;2.0;;1.0;46.0;41.0;;USD;Departamento;Oeste;Comuna 10;other;other;2019;9;3;2020;2;3
244869;-58.4355032;-34.5663089;Argentina;Capital Federal;Las Cañitas;sin_info;3.0;2.0;2.0;99.0;99.0;;USD;Departamento;other;other;Las Cañitas;other;2019;12;28;2020;2;13
950620;-58.486473;-34.63076;Argentina;Capital Federal;Floresta;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Oeste;Comuna 10;other;other;2020;4;23;9999;12;31
985727;-58.4558185022;-34.5793262582;Argentina;Capital Federal;Colegiales;sin_info;2.0;1.0;1.0;58.0;50.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;8;1;2019;8;13
778587;-58.4603611;-34.5642355;Argentina;Capital Federal;Belgrano;sin_info;3.0;2.0;3.0;110.0;100.0;;USD;Departamento;Norte;Comuna 13;other;other;2020;2;29;9999;12;31
238317;-58.4690478;-34.6912509;Argentina;Capital Federal;Villa Riachuelo;sin_info;3.0;1.0;1.0;110.0;59.0;;USD;PH;other;other;other;other;2020;7;1;9999;12;31
416412;-58.4017833;-34.5837916;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;2.0;1.0;68.0;60.0;;USD;Departamento;other;other;other;other;2019;11;28;2019;12;23
395266;;;Argentina;Capital Federal;sin_info;sin_info;2.0;1.0;1.0;;;;USD;Departamento;other;other;other;other;2020;1;7;9999;12;31
578257;-58.4406027;-34.6159245;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;85.0;75.0;;USD;Departamento;Centro;Comuna 6;other;other;2019;8;13;2019;8;14
800934;-58.4405457447;-34.5968649818;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;50.0;45.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;2;12;2020;2;13
943052;-57.953568;-34.947918;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;2.0;1.0;80.0;70.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;3;13;2020;9;2
752996;;;Argentina;Capital Federal;Palermo;Palermo Soho;3.0;2.0;1.0;59.0;59.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;11;21;2019;12;7
180728;-57.9400902819;-34.9143718048;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;2.0;1.0;1.0;37.0;37.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;7;8;2020;8;25
12253;-58.406301;-34.5877746;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;;1.0;62.0;62.0;;USD;Departamento;other;other;other;other;2019;8;2;2020;1;16
987469;;;Argentina;Capital Federal;Puerto Madero;sin_info;3.0;2.0;3.0;135.0;135.0;;USD;Departamento;Este;Comuna 1;Puerto Madero;other;2019;8;1;2019;8;14
650914;-58.4653526;-34.6169345;Argentina;Capital Federal;Flores;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Centro;Comuna 7;other;other;2019;11;12;9999;12;31
121889;-58.482406;-34.561724;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;1.0;1.0;84.0;70.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;7;3;2020;9;2
332290;-58.445579;-34.5973122;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;82.0;45.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;5;13;2020;6;20
84069;-58.4692833547;-34.5382372666;Argentina;Capital Federal;Nuñez;sin_info;3.0;;;;95.0;;USD;Departamento;Norte;Comuna 13;Nuñez;other;2019;8;21;2019;8;23
660478;-58.4752224;-34.5745042;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;1.0;95.0;75.0;;USD;PH;Norte;Comuna 12;other;other;2020;1;24;9999;12;31
497455;-58.396258;-34.6153363;Argentina;Capital Federal;Balvanera;sin_info;3.0;2.0;1.0;88.0;86.0;;USD;Departamento;Este;Comuna 3;other;other;2019;12;12;9999;12;31
110244;-58.468956;-34.607213;Argentina;Capital Federal;Paternal;sin_info;3.0;2.0;2.0;111.0;77.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;1;22;2020;4;2
106129;-58.5056176;-34.6223394;Argentina;Capital Federal;Floresta;sin_info;3.0;;;124.0;92.0;;USD;PH;Oeste;Comuna 10;other;other;2019;9;17;2020;9;8
616483;-58.449967;-34.62433;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;79.0;79.0;;USD;Departamento;Centro;Comuna 6;other;other;2019;9;11;2019;9;14
884349;-58.483977;-34.55113;Argentina;Capital Federal;Saavedra;sin_info;2.0;1.0;2.0;100.0;76.0;;USD;PH;Norte;Comuna 12;other;other;2020;4;2;9999;12;31
244730;-58.43063;-34.607653;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;40.0;37.0;;USD;Departamento;Centro;Comuna 6;other;other;2019;12;28;2020;1;21
442705;-58.44355011;-34.60284805;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;;1.0;44.0;44.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;6;1;9999;12;31
103444;-58.4213675;-34.6098753;Argentina;Capital Federal;Almagro;sin_info;3.0;;1.0;62.0;59.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;11;23;2020;5;5
652877;-58.5078649148;-34.6033637189;Argentina;Capital Federal;Villa Devoto;sin_info;3.0;2.0;1.0;;;;USD;Departamento;Oeste;Comuna 11;other;other;2019;11;12;2019;12;5
163663;-58.4152009;-34.619706;Argentina;Capital Federal;Almagro;sin_info;3.0;;1.0;;63.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;9;4;9999;12;31
198841;-58.4679922302;-34.6251673855;Argentina;Capital Federal;Flores;sin_info;3.0;3.0;2.0;132.0;82.0;;USD;Departamento;Centro;Comuna 7;other;other;2019;7;5;2019;7;9
571582;-58.472744;-34.5822353;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;2.0;73.0;65.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;6;3;2020;6;15
840902;-58.4162401599;-34.6082854903;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;75.0;72.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;3;7;2020;3;15
331397;-58.3902503;-34.617171;Argentina;Capital Federal;Congreso;sin_info;2.0;1.0;1.0;60.0;34.0;;USD;Departamento;other;other;other;other;2020;5;13;2020;6;1
352714;-60.6284528;-32.9523152;Argentina;Capital Federal;sin_info;sin_info;3.0;1.0;1.0;;;;USD;Departamento;other;other;other;other;2020;1;14;9999;12;31
68354;-57.9490475932;-34.9040867431;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;;1.0;50.0;47.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2019;11;9;9999;12;31
877413;-58.4557246;-34.5791632;Argentina;Capital Federal;Colegiales;sin_info;2.0;;1.0;;53.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;11;13;2020;5;4
607417;-58.4630859156;-34.6037693002;Argentina;Capital Federal;Paternal;sin_info;3.0;2.0;1.0;47.0;47.0;;USD;Departamento;Centro;Comuna 15;other;other;2019;9;14;2019;9;17
412411;-58.4915986;-34.5545188;Argentina;Capital Federal;Saavedra;sin_info;2.0;;1.0;50.0;41.0;;USD;Departamento;Norte;Comuna 12;other;other;2019;9;24;2020;5;4
47334;;;Argentina;Capital Federal;Belgrano;sin_info;3.0;;2.0;71.0;64.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;10;11;2020;1;7
570477;-58.43469;-34.60896;Argentina;Capital Federal;Parque Centenario;sin_info;2.0;1.0;1.0;45.0;43.0;;USD;Departamento;other;other;other;other;2020;6;3;2020;6;8
500031;-57.938783;-34.914448;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;1.0;1.0;21.0;21.0;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2019;7;24;2019;9;14
673878;-58.46265;-34.622715;Argentina;Capital Federal;Flores;sin_info;3.0;2.0;1.0;92.0;83.0;;USD;Departamento;Centro;Comuna 7;other;other;2019;8;25;2019;9;14
331476;-58.452877;-34.625061;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Centro;Comuna 6;other;other;2020;5;13;2020;8;25
104331;-58.44231;-34.5964;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;68.0;60.0;;USD;Departamento;Centro;Comuna 15;other;other;2019;11;23;2019;12;7
861146;-58.4473845;-34.5800652;Argentina;Capital Federal;Colegiales;sin_info;3.0;2.0;2.0;95.0;84.0;;USD;Departamento;Norte;Comuna 13;other;other;2020;3;15;2020;3;15
878386;-58.3870246;-34.6269242;Argentina;Capital Federal;Constitución;sin_info;2.0;1.0;1.0;;;;USD;Departamento;Este;Comuna 1;other;other;2019;11;13;2019;12;5
346245;-58.4431194061;-34.6093076981;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;33.0;33.0;;USD;Departamento;Centro;Comuna 6;other;other;2020;7;21;2020;8;13
622575;-58.43683;-34.60252;Argentina;Capital Federal;Parque Centenario;sin_info;3.0;2.0;2.0;87.0;77.0;;USD;Departamento;other;other;other;other;2020;3;19;2020;4;3
652257;;;Argentina;Capital Federal;sin_info;sin_info;3.0;2.0;3.0;;;;USD;Departamento;other;other;other;other;2019;11;12;2020;8;13
348435;-58.4089813;-34.6311229;Argentina;Capital Federal;Parque Patricios;sin_info;2.0;;1.0;58.0;;;USD;PH;Sur;Comuna 4;other;other;2019;11;26;2019;12;21
849856;-58.4786374;-34.5883996;Argentina;Capital Federal;Villa Urquiza;sin_info;2.0;1.0;1.0;97.0;60.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;2;3;2020;2;13
488076;-58.421183;-34.598576;Argentina;Capital Federal;Almagro;sin_info;2.0;1.0;1.0;26.0;26.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;11;30;2019;12;28
47083;-58.4488864;-34.557462;Argentina;Capital Federal;Belgrano;sin_info;2.0;;1.0;49.0;49.0;;USD;Departamento;Norte;Comuna 13;other;other;2019;10;11;2020;2;5
155969;-58.4328099305;-34.601567889;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;48.0;42.0;;USD;Departamento;Centro;Comuna 15;other;other;2019;12;3;2019;12;18
614815;-58.4070425;-34.5876564;Argentina;Capital Federal;Recoleta;sin_info;2.0;;1.0;47.0;47.0;;USD;Departamento;Norte;Comuna 2;Recoleta;other;2019;9;11;2020;5;15
190415;-58.427087384;-34.605250945;Argentina;Capital Federal;Almagro;sin_info;2.0;1.0;1.0;45.0;42.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;5;26;2020;6;1
